#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7020 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:33 type:b dur:2 cpbdur:2 q:16.34 aq:12.92 tex:54542 mv:14702 misc:3156 imb:85 pmb:2260 smb:1255 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:16.12 aq:7.50 tex:531164 mv:19591 misc:1109 imb:586 pmb:2564 smb:450 d:- ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:16.21 aq:10.95 tex:104029 mv:18147 misc:2344 imb:75 pmb:2587 smb:938 d:- ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:16.26 aq:13.36 tex:63274 mv:17245 misc:2593 imb:47 pmb:2336 smb:1217 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:16.16 aq:13.39 tex:36368 mv:10192 misc:3240 imb:23 pmb:1921 smb:1656 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:16.05 aq:7.56 tex:508853 mv:18451 misc:1120 imb:629 pmb:2523 smb:448 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:16.08 aq:10.78 tex:126878 mv:21303 misc:2323 imb:124 pmb:2592 smb:884 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:16.10 aq:12.77 tex:45988 mv:13766 misc:2950 imb:36 pmb:2085 smb:1479 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:16.07 aq:12.83 tex:70034 mv:17696 misc:2726 imb:107 pmb:2415 smb:1078 d:- ref:0 ;
in:45 out:42 type:P dur:2 cpbdur:2 q:15.82 aq:7.47 tex:582799 mv:19871 misc:914 imb:672 pmb:2472 smb:456 d:- ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:15.93 aq:10.71 tex:106104 mv:19288 misc:2448 imb:104 pmb:2534 smb:962 d:- ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:15.99 aq:12.87 tex:46164 mv:13633 misc:3019 imb:45 pmb:2035 smb:1520 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:15.88 aq:12.42 tex:79474 mv:17847 misc:2735 imb:93 pmb:2338 smb:1169 d:- ref:0 ;
in:48 out:46 type:P dur:2 cpbdur:2 q:15.64 aq:6.98 tex:631250 mv:20607 misc:1159 imb:656 pmb:2474 smb:470 d:- ref:0 ;
in:46 out:47 type:B dur:2 cpbdur:2 q:15.76 aq:11.22 tex:82903 mv:15070 misc:2971 imb:74 pmb:2036 smb:1490 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:15.70 aq:12.54 tex:60562 mv:13735 misc:2855 imb:40 pmb:1844 smb:1716 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:15.83 aq:7.71 tex:614097 mv:23084 misc:1251 imb:769 pmb:2409 smb:422 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:15.73 aq:10.70 tex:117549 mv:17028 misc:2751 imb:139 pmb:2157 smb:1304 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:15.68 aq:11.70 tex:11200 mv:3332 misc:2140 imb:9 pmb:687 smb:2904 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:15.78 aq:12.18 tex:94937 mv:18951 misc:2520 imb:155 pmb:2127 smb:1318 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:15.88 aq:7.84 tex:691133 mv:26749 misc:790 imb:1108 pmb:2304 smb:188 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:15.85 aq:10.75 tex:165472 mv:25319 misc:2225 imb:231 pmb:2565 smb:804 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:15.84 aq:12.24 tex:90455 mv:19633 misc:2544 imb:170 pmb:2260 smb:1170 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:15.86 aq:12.38 tex:104583 mv:20370 misc:2663 imb:148 pmb:2336 smb:1116 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:15.86 aq:7.73 tex:754658 mv:26558 misc:784 imb:1073 pmb:2387 smb:140 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:15.87 aq:10.59 tex:170703 mv:23176 misc:2585 imb:252 pmb:2479 smb:869 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:15.87 aq:12.64 tex:81367 mv:17641 misc:2816 imb:143 pmb:2270 smb:1187 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:15.86 aq:12.85 tex:91090 mv:17412 misc:2706 imb:139 pmb:2185 smb:1276 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:16.09 aq:8.52 tex:536902 mv:22724 misc:1198 imb:886 pmb:2363 smb:351 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:15.98 aq:11.23 tex:106207 mv:18631 misc:2890 imb:104 pmb:2337 smb:1159 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:15.92 aq:12.80 tex:85530 mv:17870 misc:2536 imb:122 pmb:2324 smb:1154 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:16.03 aq:11.09 tex:17469 mv:4499 misc:2432 imb:28 pmb:926 smb:2646 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:16.08 aq:8.15 tex:683576 mv:24801 misc:631 imb:1157 pmb:2385 smb:58 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:16.09 aq:12.83 tex:101679 mv:21283 misc:2910 imb:220 pmb:2349 smb:1031 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:16.30 aq:8.93 tex:607761 mv:25182 misc:729 imb:1190 pmb:2327 smb:83 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:16.19 aq:12.30 tex:127140 mv:22265 misc:2707 imb:328 pmb:2438 smb:834 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:16.14 aq:12.49 tex:23256 mv:6501 misc:2387 imb:76 pmb:987 smb:2537 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:16.25 aq:11.13 tex:16182 mv:3838 misc:2452 imb:24 pmb:912 smb:2664 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:16.36 aq:9.12 tex:723900 mv:27688 misc:532 imb:1311 pmb:2246 smb:43 d:- ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:16.33 aq:11.51 tex:229875 mv:32635 misc:1490 imb:473 pmb:2793 smb:334 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:16.32 aq:13.07 tex:79340 mv:19472 misc:3052 imb:165 pmb:2307 smb:1128 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:16.35 aq:13.21 tex:95653 mv:22225 misc:2762 imb:185 pmb:2438 smb:977 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:16.45 aq:9.28 tex:667874 mv:25532 misc:762 imb:1115 pmb:2335 smb:150 d:- ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:16.41 aq:12.00 tex:189513 mv:27137 misc:2118 imb:313 pmb:2710 smb:577 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:16.39 aq:13.34 tex:100474 mv:23797 misc:2673 imb:264 pmb:2405 smb:931 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:16.43 aq:13.74 tex:78865 mv:18566 misc:2857 imb:112 pmb:2267 smb:1221 d:- ref:0 ;
in:82 out:79 type:P dur:2 cpbdur:2 q:16.62 aq:9.66 tex:672466 mv:27044 misc:538 imb:1227 pmb:2330 smb:43 d:- ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:16.53 aq:12.24 tex:209033 mv:31103 misc:1800 imb:449 pmb:2749 smb:402 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:16.49 aq:13.65 tex:88308 mv:19023 misc:2997 imb:120 pmb:2308 smb:1172 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:16.58 aq:13.99 tex:72601 mv:17870 misc:3225 imb:125 pmb:2116 smb:1359 d:- ref:0 ;
